,0
0,-5.062467420345038e-08
1,-2.7862534781124373e-09
2,-2.4008262597535584e-08
3,-0.09999999993715042
4,-5.932069597060418e-07
5,-0.03529339615837353
6,-0.09999999993957541
7,2.891438916576501e-09
8,-3.3150053920466236e-09
9,2.400200569973135e-07
10,1.9892313267103656e-07
11,-7.200582759121262e-09
12,-5.878441575133889e-09
13,-2.0237207993710575e-07
14,-1.8246932341757724e-07
15,-4.162913688683468e-08
16,-2.0954992443101343e-08
17,0.09999999993760582
18,0.09999999963506957
19,-1.1714517807066693e-09
20,8.865643944277176e-10
21,1.7777939074171357e-10
22,4.2823092955960706e-11
23,3.8889993837996926e-11
24,-1.0630493945781017e-07
25,2.1196936497999406e-11
26,-9.313972885109471e-06
27,-0.09999999989578355
28,-0.06911986944081992
29,-0.06616475214297418
30,-1.0980621321892369e-07
31,-6.078604466964601e-08
32,-8.125749920204001e-10
33,5.729767390610158e-08
34,-4.671240088449729e-08
35,-4.790765383645671e-09
36,-1.510862326724736e-08
37,5.197629119933111e-12
38,1.071135899822769e-08
39,-1.0538444523389484e-08
40,7.511414717959082e-09
41,0.1
42,0.0999999930660423
43,1.247098692497657e-10
44,1.4190971769847166e-10
45,1.222784876253645e-10
46,1.0813719901208342e-10
47,1.1452929499585255e-10
48,-1.531937618264047e-08
49,-1.2367160658768353e-08
50,-0.09999999970173187
51,-0.0999999997944462
52,-0.035294018790241334
53,-1.5021816003602558e-08
54,-5.909838663630465e-08
55,-6.960674910513232e-10
56,2.435854803068293e-10
57,3.362243566004346e-07
58,3.45764890915929e-08
59,1.3823111286912118e-08
60,-2.0571500475656686e-07
61,5.665828032181074e-08
62,-1.4514552444243455e-07
63,-4.9898848213920355e-09
64,-9.459728553931399e-08
65,0.09999999993487244
66,0.09999999960614715
67,1.9795063272842205e-10
68,1.7411638877095813e-10
69,1.6325007791947698e-10
70,1.4900149013336971e-10
71,1.3217785948238406e-10
72,-8.17381140147137e-08
73,-0.03529391888098491
74,-0.09999999981645474
75,-0.1
76,-5.791981251196042e-08
77,-1.36113808041028e-07
78,-4.258586136996637e-09
79,-6.43396529312818e-11
80,-8.171004623796141e-11
81,-1.5027676787809552e-10
82,-1.597215332395763e-11
83,8.796485419282061e-08
84,-3.6397695903251435e-08
85,2.3774555059692773e-07
86,-2.900004963207286e-07
87,-1.7959139075683674e-11
88,-1.2293465308263118e-11
89,0.09999999992615029
90,0.09999999951495178
91,-8.497178753298741e-11
92,-6.406072580166466e-11
93,-7.566349131510647e-11
94,-6.668191914236145e-11
95,-5.871729880670392e-11
96,-5.590541532574151e-08
97,-4.338046378290272e-07
98,-0.0999999998781743
99,-0.0999999998664268
100,-0.03529336380212358
101,-2.500886775649034e-07
102,-5.8220804425136854e-08
103,-2.2927017529441636e-10
104,2.9066427108455604e-07
105,-1.3277180518416587e-08
106,-3.208288707943374e-08
107,-2.3643871697824488e-07
108,1.1102310428211616e-07
109,1.0261922953930372e-07
110,-1.0651536866976438e-07
111,-1.2465808500502036e-07
112,3.2879725387767206e-10
113,0.1
114,0.1
115,-4.386974195734003e-12
116,-1.4476554894037154e-10
117,5.318055519177077e-12
118,-1.3832688005041452e-11
119,2.5633372904058873e-10
120,-9.419162755697034e-08
121,-1.2581876422431459e-08
122,-0.03529261213882216
123,-0.0999999982293907
124,-0.1
125,-1.4786896266932897e-06
126,-1.7762623892598832e-11
127,-5.049618011107645e-12
128,-2.177755779000405e-10
129,8.664154143232537e-10
130,1.057546001346925e-07
131,-6.58360296643805e-08
132,-4.182402534645713e-08
133,1.1113856463885068e-10
134,8.036522816951138e-08
135,-6.88486600702356e-08
136,-2.0711374919281045e-08
137,0.1
138,0.1
139,1.3367512871268743e-09
140,1.6386401702836357e-09
141,1.2364655835831145e-09
142,1.3259103502248131e-09
143,1.0565057103258693e-09
144,-4.49971774313216e-08
145,-1.2476988737025452e-07
146,-0.03529251231157549
147,-0.09999999979256821
148,-0.09999999974256606
149,-1.128322982643221e-06
150,-2.7924267731078684e-07
151,4.899243868249605e-11
152,-1.494625415598374e-10
153,2.1556693188179928e-07
154,1.4830597152357217e-07
155,3.528968704534468e-08
156,-1.353522741258421e-07
157,-2.099694206071433e-07
158,4.388854432451454e-09
159,-8.56610981666042e-08
160,-4.3054144366143255e-08
161,0.1
162,0.1
163,1.991904182152045e-10
164,2.152578036629996e-10
165,1.844340216553099e-10
166,2.7779600081984195e-10
167,2.5110716820098027e-10
168,-8.385671065179833e-08
169,-6.308900980861399e-08
170,6.068264598975925e-08
171,-0.08469060970640756
172,-0.05060351041839533
173,-0.1
174,-1.398873439975099e-09
175,-2.9135183959958875e-09
176,-6.041448050975839e-09
177,1.3201698601247565e-08
178,2.876513384210266e-07
179,7.328203063260414e-09
180,5.280294555742971e-08
181,-2.320053593022135e-07
182,-1.1270389548943831e-07
183,-4.962193101549077e-09
184,-5.0344684597551165e-09
185,0.09999999353398713
186,0.09999999391830053
187,-7.370095378015495e-09
188,-8.80048703847973e-09
189,1.5376522893046348e-09
190,-4.827985806240137e-09
191,-4.006989143096799e-09
192,-9.510382818459877e-08
193,-4.7264950158456e-07
194,-0.09999999512784687
195,-0.09999997829180653
196,-0.035293499552195295
197,-7.297519569683308e-09
198,2.8690264989757263e-09
199,0.09999555783723163
200,-6.493229989985914e-08
201,9.091248942415189e-07
202,-2.6274439399643563e-08
203,-3.107433476656656e-08
204,-2.2170966039213023e-08
205,-3.369392988837238e-08
206,-5.8916093100871e-08
207,-4.0461643285588207e-08
208,4.4976517663588436e-08
209,0.09999999971351047
210,3.69488780306992e-06
211,-3.0589450216716723e-09
212,-8.432947332568011e-09
213,3.781625161518192e-08
214,1.4533330679605809e-08
215,4.665123147399629e-10
216,-1.0864983189300037e-07
217,-1.4284443732238839e-05
218,-0.03527702853296077
219,-0.09999999999258465
220,-0.09999999999584595
221,-2.780448913343386e-06
222,-2.5085924935049785e-08
223,4.785643452929567e-06
224,0.09999999967236106
225,0.09999507625311037
226,3.7144275596613e-08
227,-1.3824872926804422e-07
228,-1.6734146499395571e-07
229,6.954329812449488e-08
230,-1.794164139634826e-07
231,3.727972673906791e-08
232,3.3974189645530394e-08
233,4.3955508340897673e-07
234,6.54702623477721e-12
235,-5.052440308967719e-10
236,-8.512192547087908e-11
237,-2.1237003511673063e-10
238,-2.443756349947019e-10
239,-2.307359705193603e-10
240,-7.612280104459589e-08
241,-1.057530976634511e-08
242,-0.1
243,-0.1
244,-0.03529409176160846
245,-1.5397174092995213e-08
246,-2.5438713179898767e-12
247,-4.953999938181172e-12
248,-1.3042380629634038e-11
249,5.366309041717917e-07
250,9.80222100093892e-07
251,5.6474149338487724e-08
252,1.61834170672978e-07
253,-1.3490965445896777e-08
254,-6.235986449126109e-08
255,-2.6398546316015027e-08
256,3.9363465733781624e-08
257,0.09999999975752463
258,0.09999832543574787
259,2.5155937402258637e-11
260,-2.7407156114779265e-10
261,-2.635965485616137e-10
262,-2.4093570281610607e-10
263,-2.1980278337768975e-10
264,-1.3940751491945765e-08
265,-0.03497961291172038
266,-0.1
267,-0.1
268,-0.0003142991027310127
269,-1.9550843399528633e-07
270,-8.79690069729391e-09
271,3.607944262615524e-08
272,-1.6927162206542908e-08
273,-1.6309444004771773e-08
274,-1.8270148112492776e-11
275,2.8516801841005602e-08
276,2.6804814776311858e-08
277,2.1020646155493554e-07
278,-1.6225326201767495e-07
279,-1.0607574936994346e-07
280,-1.7757896943057015e-09
281,0.09999999992840804
282,0.09999999981683097
283,-5.608107607681865e-11
284,-6.892929443757694e-11
285,-9.872928818376026e-11
286,-5.7239638070877784e-11
287,-9.213674066404366e-11
288,-6.466152011966486e-08
289,-0.00022203086308422243
290,-0.09999997572364791
291,-0.09999995642456275
292,-0.035072130026410776
293,-7.406726203455929e-09
294,3.5455872734863524e-09
295,2.8605692763479512e-08
296,-1.8416996809581668e-08
297,4.928370699100378e-09
298,-4.948727030661385e-09
299,1.9037049234512102e-07
300,-1.5413640057133452e-07
301,-5.218426232578213e-08
302,-2.2733114848233235e-08
303,-3.3590649088573082e-09
304,6.229006791571336e-08
305,0.1
306,0.09999982727896574
307,-2.3210834562733315e-08
308,1.65484431959735e-07
309,8.052971376055786e-10
310,4.6091500826328653e-10
311,3.520868283963795e-10
312,-5.925097168912074e-08
313,-3.936236137023383e-08
314,-2.8608476250611406e-06
315,-0.09999999916524076
316,-0.09999999758289815
317,-0.03529113748481614
318,-2.8680144950604797e-08
319,3.0090572207130264e-08
320,-6.301418552814656e-08
321,5.004306019739055e-07
